VENDOR_NAME,SKU_NBR,DC_ID,CATEGORY,DNP_RANKING,FILL_RATE,TOTAL_WEEKS_OF_SUPPLY,RECEIPT_DELAY_DAYS,OOS_LIKELY,FILL_RATE_ISSUE,AVG_FILL_RATE_4WK,AVG_RECEIPT_DELAY_4WK,AVG_FILL_RATE_8WK,AVG_RECEIPT_DELAY_8WK,STORE_COUNT,COMBINED_CAUSE,COMBINED_ACTION
MEDIQ,60494,TX,PERSONAL CARE,Bottom 50%,59.5,33.52,4.9,Y,Y,60.3,4.7,57.5,5.9,208,Manufacturing shortage,
BIOPLEX,57706,OH,SKIN CARE,Bottom 50%,89.8,45.91,4.9,N,N,94.3,4.6,91.8,2.5,97,Demand spike,Without Exception
BIOMED,68781,AZ,DIGESTIVE HEALTH,Top 50%,86.0,26.23,2.2,N,N,86.8,0.4,86.3,-0.3,37,Vendor capacity constraint,Without Exception
HEALTHCORP,86997,TX,VITAMINS & SUPPLEMENTS,Top 10%,47.1,33.97,0.3,Y,Y,49.2,1.1,49.3,0.0,112,Low fill rate (<85%),
HEALTHCORP,94833,TX,HAIR CARE,Bottom 50%,78.7,27.66,-1.9,N,Y,77.7,-1.6,81.3,0.1,235,Vendor capacity constraint,
MEDIQ,76496,FL,BABY CARE,Top 50%,99.1,24.96,2.2,N,N,97.5,1.9,98.4,2.7,255,Transportation issue,Without Exception
SUNRISE,87481,TX,PET SUPPLIES,Top 10%,93.6,24.83,-0.6,N,N,91.6,-1.6,92.6,-1.7,287,Vendor capacity constraint,Without Exception
ULTRAMED,51111,CA,PET SUPPLIES,Top 50%,87.8,24.39,2.9,N,N,86.5,7.0,85.7,7.8,179,Weather delay,Without Exception
VITAGEN,39933,GA,SKIN CARE,Bottom 50%,94.3,22.1,20.1,N,N,93.6,18.4,92.5,16.3,68,Transportation issue,
MEDIQ,74033,TX,COLD & ALLERGY,Bottom 50%,88.8,69.61,18.3,Y,N,82.1,18.8,86.8,19.3,83,>5 days late,
GREENLEAF,15380,AZ,PAIN MANAGEMENT,Bottom 50%,99.2,30.11,11.9,N,N,95.5,13.7,97.1,14.9,43,>5 days late,
BIOMED,80028,CA,FIRST AID,Top 50%,79.7,27.42,-1.8,N,Y,80.2,-2.2,80.9,-5.5,194,Low fill rate (<85%),
MEDIQ,47599,FL,SKIN CARE,Bottom 50%,59.0,30.49,-1.1,Y,Y,60.8,-0.1,60.4,3.1,196,Vendor capacity constraint,
BIOMED,63504,GA,PERSONAL CARE,Top 50%,93.1,27.1,15.9,N,N,90.8,16.9,90.7,17.3,76,Transportation issue,
HEALTHCORP,90000,NC,PET SUPPLIES,Top 10%,85.3,44.9,3.2,N,N,85.4,2.4,86.9,5.9,219,Weather delay,Without Exception
BIOMED,82393,WA,PERSONAL CARE,Top 10%,80.0,22.49,11.4,Y,Y,80.9,11.2,75.5,10.6,174,Weather delay,
SUNRISE,20888,GA,FIRST AID,Bottom 50%,58.4,28.92,13.3,Y,Y,66.2,14.5,61.8,15.3,204,>5 days late,
PRIMECARE,59809,NY,DIGESTIVE HEALTH,Top 10%,62.6,41.19,-1.4,Y,Y,63.3,-1.0,63.0,0.1,184,Demand spike,
NOVAPHARM,30479,NC,BABY CARE,Bottom 50%,71.0,47.89,17.9,Y,Y,72.6,19.2,72.2,18.7,111,>5 days late,
MEDIQ,81040,NC,PAIN MANAGEMENT,Bottom 50%,89.8,23.92,18.4,Y,N,87.2,20.1,86.0,20.2,55,Transportation issue,
GREENLEAF,57379,NC,VITAMINS & SUPPLEMENTS,Top 50%,59.8,36.74,8.9,Y,Y,51.9,10.0,59.1,8.7,197,Transportation issue,
VITAGEN,96739,FL,COLD & ALLERGY,Top 10%,90.9,40.53,13.3,N,N,95.7,12.8,92.3,10.5,167,Transportation issue,
MEDIQ,54378,OH,FIRST AID,Bottom 50%,52.4,35.5,12.7,Y,Y,49.2,12.4,51.7,9.4,137,Weather delay,
GREENLEAF,71571,CA,HAIR CARE,Bottom 50%,67.4,30.13,3.5,Y,Y,64.7,3.2,64.2,5.4,106,Vendor capacity constraint,
GREENLEAF,25776,OH,DIGESTIVE HEALTH,Top 50%,88.7,24.83,-1.8,N,N,89.1,-0.5,89.1,2.6,75,Vendor capacity constraint,Without Exception
AKZE,26241,CA,HAIR CARE,Top 10%,76.6,40.16,0.3,N,Y,75.7,-0.8,77.7,-1.3,41,Low fill rate (<85%),
VITAGEN,94124,NY,COLD & ALLERGY,Bottom 50%,87.4,25.01,2.5,N,N,84.5,0.6,85.0,0.7,30,Weather delay,Without Exception
GREENLEAF,14719,IL,PAIN MANAGEMENT,Top 50%,86.2,23.0,10.0,N,N,85.5,9.1,85.9,12.0,31,Weather delay,
NOVAPHARM,36946,IL,FIRST AID,Bottom 50%,89.6,24.43,-1.8,N,N,87.3,-0.9,88.7,-2.9,64,>5 days late,Without Exception
AKZE,91169,CA,DIGESTIVE HEALTH,Top 50%,72.1,23.96,2.6,Y,Y,72.9,1.4,73.7,1.8,149,Vendor capacity constraint,
AKZE,83823,WA,VITAMINS & SUPPLEMENTS,Bottom 50%,90.7,22.68,15.8,N,N,93.0,15.1,92.2,13.6,128,Weather delay,
SUNRISE,16198,OH,HAIR CARE,Top 10%,64.0,22.7,0.6,Y,Y,61.2,0.0,61.0,-1.4,84,Vendor capacity constraint,
HEALTHCORP,80806,FL,FIRST AID,Top 10%,86.2,26.71,4.5,N,N,87.0,2.6,85.9,4.4,242,Partial shipment,Without Exception
SUNRISE,34684,CA,PET SUPPLIES,Top 50%,95.4,121.13,10.4,N,N,96.1,12.8,92.5,11.9,31,>5 days late,
PRIMECARE,14131,WA,HAIR CARE,Top 50%,77.9,23.26,4.8,N,Y,82.8,6.4,80.0,12.1,241,Demand spike,
GREENLEAF,63819,TX,DIGESTIVE HEALTH,Top 10%,86.0,26.73,1.6,N,N,83.4,2.5,83.2,2.4,103,Partial shipment,Without Exception
HEALTHCORP,99526,NC,BABY CARE,Top 50%,86.5,26.74,2.9,N,N,90.7,1.0,88.3,-1.1,134,>5 days late,Without Exception
NOVAPHARM,13160,FL,VITAMINS & SUPPLEMENTS,Top 10%,69.0,26.52,9.0,Y,Y,61.3,11.1,63.5,14.0,254,Weather delay,
SYNCO,22982,FL,SKIN CARE,Top 50%,87.2,22.02,2.0,N,N,94.2,-1.6,86.6,-5.7,125,Weather delay,Without Exception
MEDIQ,72831,NC,PET SUPPLIES,Bottom 50%,89.3,26.8,11.5,Y,N,88.4,13.9,92.1,16.0,80,Weather delay,
HEALTHCORP,21925,WA,HAIR CARE,Top 10%,51.1,24.41,19.6,Y,Y,49.7,23.1,53.4,25.7,287,Transportation issue,
